2021,2021,App\Models\TenderCompanyFileDetail,ZYR7G6RGD9R6QUHQ0Z5Z5AI8NURDG8LP0L93CHHVW0GWMRXIZT.pdf,NULL,NULL,NULL,NULL,2019-04-21 12:08:20,2019-04-21 12:08:20
942,942,App\Models\TenderCompanyFileDetail,ZYD3ZWY18K7OHCM5X151A0AFS3ZW5MOLLHE2TYLE2X782RQMZ8.pdf,NULL,NULL,NULL,NULL,2019-04-21 12:03:09,2019-04-21 12:03:09
741,741,App\Models\TenderCompanyFileDetail,ZYAR5J81QM689YHUVQXU5OWO609BKGB8D7XE80FA83OUX50KGF.jpg,NULL,NULL,NULL,NULL,2019-04-21 12:02:16,2019-04-21 12:02:16
109,109,App\Models\TenderCompanyFileDetail,ZY25PJU8TXZFMLJYZI5I85WC8GD5AXN5BJC2LQJ5ZHU2U9B2Z1.pdf,NULL,NULL,NULL,NULL,2019-04-21 11:59:10,2019-04-21 11:59:10
204,204,App\Models\TenderCompanyFileDetail,ZX9NQS9V1WB48PHM58E46W3T4O8FC1V6OZMSGYJHJX9ZACUGI7.pdf,NULL,NULL,NULL,NULL,2019-04-21 11:59:34,2019-04-21 11:59:34
205,205,App\Models\TenderCompanyFileDetail,ZX9NQS9V1WB48PHM58E46W3T4O8FC1V6OZMSGYJHJX9ZACUGI7.pdf,NULL,NULL,NULL,NULL,2019-04-21 11:59:34,2019-04-21 11:59:34
176,176,App\Models\TenderCompanyFileDetail,ZWUOF8IOZELPPN0Q8P28NRL5JJZZZA1PMP3QH0137W78VNE42X.pdf,NULL,NULL,NULL,NULL,2019-04-21 11:59:27,2019-04-21 11:59:27
177,177,App\Models\TenderCompanyFileDetail,ZWUOF8IOZELPPN0Q8P28NRL5JJZZZA1PMP3QH0137W78VNE42X.pdf,NULL,NULL,NULL,NULL,2019-04-21 11:59:27,2019-04-21 11:59:27
916,916,App\Models\TenderCompanyFileDetail,ZWUHTRHA6HWHWZNTCSUGBT257LF3T1I0JMF55CR72OKE3JIGKG.pdf,NULL,NULL,NULL,NULL,2019-04-21 12:03:02,2019-04-21 12:03:02
1978,1978,App\Models\TenderCompanyFileDetail,ZWN3Z74W1OEW2A3TCHAWQ8LTL02TQSCMJ0IFUP5YYACGRQQMLJ.pdf,NULL,NULL,NULL,NULL,2019-04-21 12:08:06,2019-04-21 12:08:06
1945,1945,App\Models\TenderCompanyFileDetail,ZVJUBKF4MX7JMBB8HKQRY1X88JV83G1WPLERSCEYKI11SGR5MZ.pdf,NULL,NULL,NULL,NULL,2019-04-21 12:07:55,2019-04-21 12:07:55
2065,2065,App\Models\TenderCompanyFileDetail,ZV8W27CB79ZAQK80I1Q8V6J5OX9H8R0GEOCSJ3DOH1OWKXDLMS.pdf,NULL,NULL,NULL,NULL,2019-04-21 12:08:33,2019-04-21 12:08:33
